n,lowest2015,highest2015,lowest2019,highest2019,lowestdiff,highestdiff,decile1prop2015,decile1prop2019,decile10prop2015,decile10prop2019,decile1propdiff,decile10propdiff,mean2019,median2019,mean2015,median2015,meandiff,mediandiff
Tendring,1,29254,1,29459,0,205,15.7303,17.9775,-999999,-999999,2.247191011235957,0,10761.880873122223,10792,11818.732487254583,11386,-1056.8516141323598,-594
Guildford,5726,32591,6441,32757,715,166,-999999,-999999,38.0952,42.8571,0,4.7619,25647.624927484183,27815,25507.115564701748,28416,140.50936278243535,-601
Malvern Hills,1609,29487,1777,30237,168,750,2.2222,2.2222,-999999,2.2222,0,2.2222,19203.607728275718,19397,18932.512523339556,18178,271.0952049361622,1219
Bromley,1663,32700,2534,32559,871,-141,3.0457,0.5076,17.7665,17.7665,-2.5380710659898478,0,21547.551332142648,24111,20821.613060286083,22670,725.9382718565648,1441
Tower Hamlets,1088,27612,2763,30144,1675,2532,23.6111,1.3889,-999999,0.6944,-22.22222222222222,0.6944,10337.951308248363,8684,7358.600939913233,5204,2979.35036833513,3480
Portsmouth,58,30960,192,31332,134,372,12.8,12,1.6,1.6,-0.8,0,12184.31026703018,11994,12259.607508747138,11873,-75.29724171695852,121
Derby,128,31739,563,32465,435,726,18.543,15.894,11.2583,13.9073,-2.649006622516554,2.649,13891.226532742492,12038,13463.526368091696,10419,427.70016465079607,1619
Poole,3859,32680,2697,32620,-1162,-60,-999999,1.0753,16.129,15.0538,1.0752688172043012,-1.0753,19987.99394020199,20242,20081.38029135686,19847,-93.38635115486977,395
Barnet,2575,31888,2878,31544,303,-344,0.9479,0.4739,3.3175,4.2654,-0.47393364928909953,0.9479,19041.64337157913,19861,17609.746026992274,18051,1431.8973445868578,1810
North Tyneside,381,32617,286,32782,-95,165,6.8702,9.1603,13.7405,13.7405,2.2900763358778615,0,16019.945482796893,13897,16447.01555751914,14267,-427.0700747222454,-370
Sedgemoor,1671,31639,1133,30795,-538,-844,4.2857,5.7143,4.2857,5.7143,1.4285714285714288,1.4286,15648.411782821851,15810,16879.908478431305,18088,-1231.496695609454,-2278
Forest Heath,5477,27276,6625,27013,1148,-263,-999999,-999999,-999999,-999999,0,0,17254.949667064513,17431,16583.874224088253,16867,671.0754429762601,564
Northampton,180,32298,185,32069,5,-229,12.0301,9.0226,4.5113,4.5113,-3.007518796992482,0,14759.385940596741,13565,14671.294170558243,13847,88.091770038498,-282
Birmingham,38,32026,45,31954,7,-72,39.5931,41.3146,1.7214,1.252,1.7214397496087628,-0.4695,7525.456825241278,4302,7889.9095812197365,4748,-364.4527559784583,-446
Stockport,47,32733,58,32508,11,-225,8.9474,8.9474,16.3158,13.6842,0,-2.6316,17444.34507875587,18451,18479.763879153354,19240,-1035.418800397485,-789
Newcastle upon Tyne,45,32779,32,32714,-13,-65,22.2857,25.7143,11.4286,9.7143,3.428571428571427,-1.7143,13072.305161574335,11431,13851.693646837226,12898,-779.3884852628908,-1467
Warrington,994,31803,1083,31885,89,82,9.4488,7.874,11.811,14.1732,-1.5748031496062982,2.3622,18567.07615781775,20932,18433.804519785175,20204,133.27163803257645,728
South Lakeland,10329,31219,10637,32127,308,908,-999999,-999999,11.8644,10.1695,0,-1.6949,22062.78385175763,22759,22121.092757097427,22479,-58.30890533979618,280
Richmond upon Thames,5864,32337,5206,32410,-658,73,-999999,-999999,17.3913,28.6957,0,11.3043,25685.811697677775,27732,24735.06053556795,26809,950.7511621098238,923
Reading,2947,32502,2251,32357,-696,-145,2.0619,5.1546,12.3711,12.3711,3.092783505154639,0,16719.259274834418,15379,16715.959554726258,15338,3.2997201081598178,41
North East Derbyshire,2902,32561,2361,32251,-541,-310,1.5873,4.7619,14.2857,12.6984,3.174603174603175,-1.5873,18733.88851205587,19603,18935.424757110497,19351,-201.53624505462722,252
Ipswich,1224,29997,1496,30845,272,848,14.1176,14.1176,2.3529,1.1765,0,-1.1765,12978.102415501038,11902,12976.732906459625,12159,1.369509041413039,-257
Swale,46,31008,48,31022,2,14,16.4706,18.8235,4.7059,2.3529,2.3529411764705905,-2.3529,12849.093042898106,12696,13624.610135921186,14096,-775.5170930230797,-1400
City of London,10285,29111,8678,30379,-1607,1268,-999999,-999999,-999999,16.6667,0,16.6667,20424.482727680574,18089,21075.987901104683,20497,-651.5051734241097,-2408
Norwich,1141,32353,1209,32220,68,-133,20.4819,20.4819,7.2289,8.4337,0,1.2048,12470.158309793698,10498,11737.907448619906,8641,732.2508611737921,1857
Liverpool,24,32090,10,31562,-14,-528,44.9664,48.6577,0.3356,0.3356,3.6912751677852356,0,7011.429908509703,3495,7383.791113094234,4306,-372.36120458453115,-811
Mid Sussex,8057,32820,8380,32842,323,22,-999999,-999999,44.186,46.5116,0,2.3256,27278.264617829813,29053,27155.326631813095,28578,122.93798601671733,475
Maldon,7638,29567,8767,31166,1129,1599,-999999,-999999,2.5,10,0,7.5,20455.71194129632,20754,19955.7589876934,21038,499.95295360291857,-284
Darlington,170,31165,126,31720,-44,555,15.3846,18.4615,9.2308,9.2308,3.0769230769230784,0,14560.369695654636,13268,15421.681818181818,14720,-861.3121225271825,-1452
Stoke on Trent,130,30613,445,29872,315,-741,30.1887,32.0755,1.2579,1.2579,1.8867924528301856,0,9047.951173007714,5879,9379.663013249141,6206,-331.7118402414271,-327
Gateshead,501,31953,375,30819,-126,-1134,11.9048,16.6667,6.3492,3.9683,4.761904761904761,-2.381,12013.815698677401,9479,13201.112518923024,10847,-1187.2968202456232,-1368
